Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2018,30,Baltimore City,346,City Neighbors Hamilton,All Students,>= 95.0,*,*,27.3,57,6.7,14,209,21,237,8.9,20190626
2018,30,Baltimore City,347,KIPP Academy,Elementary,93.7,108064.5,115330,24.1,198,19.8,163,823,260,1009,25.8,20190626
2018,30,Baltimore City,347,KIPP Academy,Middle,>= 95.0,*,*,22.6,118,15.3,80,522,99,540,18.3,20190626
2018,30,Baltimore City,347,KIPP Academy,All Students,94.2,177771,188617,23.5,316,18.1,243,1345,359,1549,23.2,20190626
2018,30,Baltimore City,348,Baltimore Leadership School for Young Women,Middle,93.9,37598,40055,30.6,91,14.5,43,297,69,310,22.3,20190626
2018,30,Baltimore City,348,Baltimore Leadership School for Young Women,High,91.3,23795,26065,9.3,18,19.6,38,194,61,202,30.2,20190626
2018,30,Baltimore City,348,Baltimore Leadership School for Young Women,All Students,92.9,61393,66120,22.2,109,16.5,81,491,130,512,25.4,20190626
2018,30,Baltimore City,349,N.A.C.A. Freedom and Democracy Academy II,Middle,80.4,8519,10599,22.1,17,45.5,35,77,52,94,55.3,20190626
2018,30,Baltimore City,349,N.A.C.A. Freedom and Democracy Academy II,High,78.6,14977,19049,10.2,14,48.9,67,137,103,166,62,20190626
2018,30,Baltimore City,349,N.A.C.A. Freedom and Democracy Academy II,All Students,79.2,23496,29648,14.5,31,47.7,102,214,155,260,59.6,20190626
2018,30,Baltimore City,357,Banneker Blake Academy for Arts and Sciences,Middle,87.5,27991.5,31976,33.5,76,21.6,49,227,79,260,30.4,20190626
2018,30,Baltimore City,362,Bard High School Early College,High,90.6,47163,52085,22.6,87,19.7,76,385,108,402,26.9,20190626
2018,30,Baltimore City,364,Bluford Drew Jemison STEM Academy West,Middle,79.5,17833.5,22435,6.8,11,39.8,64,161,98,196,50,20190626
2018,30,Baltimore City,364,Bluford Drew Jemison STEM Academy West,High,68.5,17572.5,25657,5.6,10,58.9,106,180,139,202,68.8,20190626
2018,30,Baltimore City,364,Bluford Drew Jemison STEM Academy West,All Students,73.6,35406,48092,6.2,21,49.9,170,341,237,398,59.5,20190626
2018,30,Baltimore City,368,Elmer A. Henderson: Johns Hopkins Partner School,Elementary,93.6,37779.5,40382,23.9,71,16.2,48,297,79,371,21.3,20190626
2018,30,Baltimore City,368,Elmer A. Henderson: Johns Hopkins Partner School,Middle,93.9,18174,19359,12.6,18,11.9,17,143,30,147,20.4,20190626
2018,30,Baltimore City,368,Elmer A. Henderson: Johns Hopkins Partner School,All Students,93.7,55953.5,59741,20.2,89,14.8,65,440,109,518,21,20190626
2018,30,Baltimore City,371,Lillie May Carroll Jackson School,Elementary,>= 95.0,*,*,>= 95.0,*,<= 5.0,*,13,2,16,12.5,20190626
2018,30,Baltimore City,371,Lillie May Carroll Jackson School,Middle,>= 95.0,*,*,85.6,154,<= 5.0,*,180,*,*,<= 5.0,20190626
2018,30,Baltimore City,371,Lillie May Carroll Jackson School,All Students,>= 95.0,*,*,86.5,167,<= 5.0,*,193,*,*,<= 5.0,20190626
2018,30,Baltimore City,373,Tunbridge Public Charter School,Elementary,>= 95.0,*,*,38.6,95,10.6,26,246,39,294,13.3,20190626
2018,30,Baltimore City,373,Tunbridge Public Charter School,Middle,>= 95.0,*,*,34.4,53,5.2,8,154,27,156,17.3,20190626
2018,30,Baltimore City,373,Tunbridge Public Charter School,All Students,>= 95.0,*,*,37,148,8.5,34,400,66,450,14.7,20190626
2018,30,Baltimore City,374,Vanguard Collegiate Middle School,Middle,89.5,48572.5,54250,42.9,169,20.8,82,394,131,457,28.7,20190626
2018,30,Baltimore City,375,Baltimore Collegiate School for Boys,Elementary,94.1,22493,23914,34.5,60,9.8,17,174,30,187,16,20190626
2018,30,Baltimore City,375,Baltimore Collegiate School for Boys,Middle,94,30591,32559,26.7,65,8.2,20,243,34,249,13.7,20190626
2018,30,Baltimore City,375,Baltimore Collegiate School for Boys,All Students,94,53084,56473,30,125,8.9,37,417,64,436,14.7,20190626
2018,30,Baltimore City,376,City Neighbors High School,High,91.2,49343.5,54079,23.5,95,20,81,404,115,411,28,20190626
2018,30,Baltimore City,377,Green Street Academy,Middle,89.4,45691.5,51085,19.7,75,31.6,120,380,143,390,36.7,20190626
2018,30,Baltimore City,377,Green Street Academy,High,86.7,48164.5,55571,13.6,56,31.1,128,411,175,422,41.5,20190626
2018,30,Baltimore City,377,Green Street Academy,All Students,88,93856,106656,16.6,131,31.4,248,791,318,812,39.2,20190626
2018,30,Baltimore City,379,Roots and Branches School,Elementary,91.6,15113,16498,22.6,26,27.8,32,115,56,163,34.4,20190626
